"cellID","Region","District","Ward","WardID","Village","VillageID"
3451,"Mara","Serengeti","Natta",18,"Makundusi",38
3452,"Mara","Serengeti","Natta",18,"Makundusi",38
3453,"Mara","Serengeti","Natta",18,"Makundusi",38
3454,"Mara","Serengeti","Natta",18,"Makundusi",38
3455,"Mara","Serengeti","Natta",18,"Makundusi",38
3456,"Mara","Serengeti","Natta",18,"Makundusi",38
3457,"Mara","Serengeti","Natta",18,"Makundusi",38
3458,"Mara","Serengeti","Natta",18,"Makundusi",38
3459,"Mara","Serengeti","Natta",18,"Makundusi",38
3460,"Mara","Serengeti","Natta",18,"Makundusi",38
3461,"Mara","Serengeti","Natta",18,"Makundusi",38
3462,"Mara","Serengeti","Natta",18,"Makundusi",38
3463,"Mara","Serengeti","Natta",18,"Makundusi",38
3464,"Mara","Serengeti","Natta",18,"Makundusi",38
3465,"Mara","Serengeti","Natta",18,"Makundusi",38
3466,"Mara","Serengeti","Natta",18,"Makundusi",38
3467,"Mara","Serengeti","Natta",18,"Makundusi",38
3468,"Mara","Serengeti","Natta",18,"Makundusi",38
3469,"Mara","Serengeti","Natta",18,"Makundusi",38
3470,"Mara","Serengeti","Natta",18,"Makundusi",38
3471,"Mara","Serengeti","Natta",18,"Makundusi",38
3472,"Mara","Serengeti","Natta",18,"Makundusi",38
3473,"Mara","Serengeti","Natta",18,"Makundusi",38
3474,"Mara","Serengeti","Natta",18,"Makundusi",38
3475,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3476,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3477,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3478,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3479,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3480,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
